#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2016-09-06T18:12:38 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ57cf059e4c3b	
#INFO	-out.max=unlimited	
#INFO	queryParameters=14	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/510/A21&tab:{J/A+A/510/A21/table2}&key:source=J/A+A/510/A21/table2&HTTPPRM:&&-ref=VIZ57cf059e4c3b&-file=.&-oc.form=dec&-order=I&-out.form=verb&-out=Teff&Teff=[3500, 12000]&-out=logg&logg=[1.5, 5]&-out=M/H&-out=u&-out=a&-out=b&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.max=50&-out.form=HTML Table&
#-source=J/A+A/510/A21/table2
#-order=I
#-out=Teff
#Teff=<=12000
#-out=logg
#logg=>=1.5
#-out=M/H
#M/H=>=-2.5
#-out=u
#-out=a
#-out=b
#

#RESOURCE=yCat_35100021
#Name: J/A+A/510/A21
#Title: Stellar Limb-Darkening Coefficients (Sing, 2010)
#Table	J_A_A_510_A21_table2:
#Name: J/A+A/510/A21/table2
#Title: Limb-darkening coefficients for Kepler
#Column	Teff	(I5)	[3500,50000] Stellar effective temperature	[ucd=phys.temperature.effective]
#Column	logg	(F5.2)	[0,5] Stellar surface gravity	[ucd=phys.gravity]
#Column	M/H	(F5.2)	[-0.5,+1.0] Stellar metallicity (1)	[ucd=phys.abund.Z]
#Column	u	(F7.4)	Linear limb-darkening coefficient (2)	[ucd=pos.distance]
#Column	a	(F7.4)	Quadratic limb-darkening coefficient (2)	[ucd=phot.limbDark]
#Column	b	(F7.4)	Quadratic limb-darkening coefficient (2)	[ucd=phot.limbDark]
#Teff;logg;M/H;u;a;b
#K;[cm/s+2];[Sun]; ; ;
#-----;-----;-----;-------;-------;-------
 3500; 1.50;-2.50; 0.6233; 0.4518; 0.2123
 3750; 1.50;-2.50; 0.6960; 0.6613; 0.0430
 4000; 1.50;-2.50; 0.6784; 0.5815; 0.1199
 4250; 1.50;-2.50; 0.6387; 0.4651; 0.2149
 4500; 1.50;-2.50; 0.6053; 0.4049; 0.2481
 4750; 1.50;-2.50; 0.5898; 0.3864; 0.2517
 5000; 1.50;-2.50; 0.5834; 0.3822; 0.2489
 5250; 1.50;-2.50; 0.5784; 0.3764; 0.2500
 5500; 1.50;-2.50; 0.5727; 0.3679; 0.2534
 5750; 1.50;-2.50; 0.5652; 0.3532; 0.2624
 6000; 1.50;-2.50; 0.5563; 0.3343; 0.2748
 6250; 1.50;-2.50; 0.6116; 0.5214; 0.1116
 6500; 1.50;-2.50; 0.6059; 0.5000; 0.1311
 6750; 1.50;-2.50; 0.5993; 0.4744; 0.1547
 7000; 1.50;-2.50; 0.5916; 0.4486; 0.1770
 7250; 1.50;-2.50; 0.5817; 0.4166; 0.2044
 7500; 1.50;-2.50; 0.5689; 0.3801; 0.2337
 7750; 1.50;-2.50; 0.5533; 0.3440; 0.2590
 8000; 1.50;-2.50; 0.5381; 0.3164; 0.2744
 8500; 1.50;-2.50; 0.5119; 0.2819; 0.2847
 3500; 2.00;-2.50; 0.5629; 0.2572; 0.3784
 3750; 2.00;-2.50; 0.6511; 0.5215; 0.1603
 4000; 2.00;-2.50; 0.6764; 0.5525; 0.1535
 4250; 2.00;-2.50; 0.6420; 0.4434; 0.2458
 4500; 2.00;-2.50; 0.6037; 0.3728; 0.2857
 4750; 2.00;-2.50; 0.5814; 0.3453; 0.2923
 5000; 2.00;-2.50; 0.5754; 0.3458; 0.2841
 5250; 2.00;-2.50; 0.5719; 0.3478; 0.2773
 5500; 2.00;-2.50; 0.5675; 0.3452; 0.2751
 5750; 2.00;-2.50; 0.5613; 0.3390; 0.2752
 6000; 2.00;-2.50; 0.5533; 0.3254; 0.2820
 6250; 2.00;-2.50; 0.5471; 0.3126; 0.2903
 6500; 2.00;-2.50; 0.6014; 0.4987; 0.1272
 6750; 2.00;-2.50; 0.5950; 0.4747; 0.1489
 7000; 2.00;-2.50; 0.5877; 0.4474; 0.1737
 7250; 2.00;-2.50; 0.5784; 0.4197; 0.1964
 7500; 2.00;-2.50; 0.5671; 0.3896; 0.2197
 7750; 2.00;-2.50; 0.5520; 0.3506; 0.2493
 8000; 2.00;-2.50; 0.5359; 0.3163; 0.2719
